first_name,last_name,age,apprentice,grades
Célina,Rousset,34,True,"[18, 94, 64]"
Noémi,Imbert,27,True,"[15, 28, 71, 95, 64, 46]"
Maggie,Techer,21,False,"[42, 47, 80]"
Gilbert,Roussel,21,True,"[48, 81, 53]"
Christine,Gonzalez,42,False,"[4, 63, 72, 25, 52, 73]"
Pauline,Paul,54,False,"[64, 73, 0, 76]"
Auguste,Valette,20,False,"[69, 94, 40, 46, 22]"
Simone,Allard,51,False,"[21, 77, 89, 17]"
Dorothée,Camus,48,False,"[99, 74, 9, 4, 33]"
Claude,Martins,36,True,"[34, 17, 45, 60]"
Clémence,Hebert,60,True,"[57, 5, 25, 38, 8, 38]"
Marcelle,Aubry,56,False,"[24, 27, 50, 39]"
Nath,Denis,59,True,"[63, 77, 75, 29, 65, 43]"
Margot,Pierre,32,False,"[67, 54, 89, 45, 64, 68]"
Margot,Lenoir,46,False,"[76, 10, 39, 62, 10, 75]"
Olivie,Maillard,33,True,"[91, 35, 24, 2, 52]"
Susanne,Bouchet,29,False,"[3, 34, 12]"
Édith,Evrard,48,False,"[43, 74, 78, 89, 72, 82]"
Benoît,Marchand,27,False,"[32, 51, 43, 14, 46, 74]"
